Threat Rank,Player,Team,Faction,Force Disposition,Elo,Global Elo Rank,Wins,Losses,Draws,Games,Win %,Confidence,Country,Most Recent Event,Club (as listed),Elo Name Matches,Comments
123,George Miller,Phoenix40k - Drooling Creatures,Thousand Sons,Take and Hold,1562,3238,6,2,0,8,75.0%,Low,England,THE BIRMINGHAM 40K SUPER MAJOR,,1,"Elo rests on only 8 games, so lightly evidenced."
124,Daniel Lipscombe,Sofa Meta,Tyranids,Disruption,1560,3314,24,21,2,47,53.2%,Medium,England,Winchester 40K GT - May 2026,Sofa Meta,1,
125,Ben Piddington,[REDACTED],Leagues of Votann,Priority Assets,1560,3315,69,56,1,126,55.2%,High,England,THE SOUTH-COAST 40k SUPER-MAJOR,[Redacted],1,
126,Stephen Deare,DKQR - Frog,Chaos Daemons,Purge the Foe,1558,3438,19,21,1,41,47.6%,Medium,England,Willen Games April Grand Tournament,Death Korps of Queens Road,1,"Guest - club is listed as Death Korps of Queens Road, not this team."
127,Michael Crawford-Jones,Hobby Henchmen I,Grey Knights,Purge the Foe,1557,3486,24,17,0,41,58.5%,Medium,England,THE LEICESTER 40K SUPER MAJOR,Hobby Henchmen,1,
128,Nick Zivtins,The Holy Hand Grenades,Emperor's Children,Purge the Foe,1557,3516,12,11,2,25,52.0%,Medium,England,The NOTTINGHAM 40K SUPER-MAJOR,The Holy Hand Grenades,1,
129,Christopher Axe,Blackwater Vikings Black,Chaos Space Marines,Disruption,1555,3591,25,11,0,36,69.4%,Medium,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Blackwater Vikings,1,
130,Daniel Green,The Sh[a]meful Suspects - PSSN,World Eaters,Purge the Foe,1555,3611,11,8,1,20,57.5%,Medium,England,PSSN Presents: Dark Sphere May GT,Pile of Shame Support Network,1,"Guest - club is listed as Pile of Shame Support Network, not this team."
131,Josh Kent,Hobby Henchmen II,Chaos Knights,Disruption,1553,3724,18,12,0,30,60.0%,Medium,England,THE SOUTH-COAST 40k SUPER-MAJOR,Hobby Henchmen,1,
132,Rusty Ashworth,Carnage Behemoth,T'au Empire,Reconnaissance,1553,3755,17,11,2,30,60.0%,Medium,England,South Yorkshire GT 2,Carnage,1,
133,Bertie G,"Live, Laugh, Lascannons",Emperor's Children,Reconnaissance,1552,3779,4,1,0,5,80.0%,Low,England,Winchester 40K GT - May 2026,Chaos Coterie,1,"Elo rests on only 5 games, so lightly evidenced. Guest - club is listed as Chaos Coterie, not this team."
134,Geoffrey Stafford,Polaris,T'au Empire,Purge the Foe,1551,3856,32,27,3,62,54.0%,High,England,Warhammer 40000 GT: Warhammer Open UK Games Expo Birmingham,Polaris,1,
135,Alex Parnall,Manaforge Games Derby,Thousand Sons,Take and Hold,1551,3859,11,7,0,18,61.1%,Low,England,THE COVENTRY 40K : 3-Day,Manaforge Games,1,"Elo rests on only 18 games, so lightly evidenced."
136,Matt Duncombe,Phoenix40k - Drooling Creatures,Aeldari,Disruption,1550,3922,15,14,1,30,51.7%,Medium,England,Phoenix 40K Spring GT 2026,Phoenix40K,1,
137,Kit Harvey-Lewis,Snake Eyes,Chaos Knights,Reconnaissance,1548,4065,49,54,2,105,47.6%,High,England,WH40K SWC: Qualifier 4 - June,Snake Eyes,1,
138,Dan W,PSSN: [L]ooming Table Flip,Aeldari,Reconnaissance,1548,4110,15,12,2,29,55.2%,Medium,England,The NOTTINGHAM 40K SUPER-MAJOR,Pile of Shame Support Network,2,"Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it. Guest - club is listed as Pile of Shame Support Network, not this team."
139,Nathan Snelson,Trash Wargaming,Leagues of Votann,Purge the Foe,1547,4166,45,47,0,92,48.9%,High,England,South Yorkshire GT 1 2026,Trash Wargaming,1,
140,Bill Marvin,DKQR - Frog,Leagues of Votann,Disruption,1547,4179,15,12,0,27,55.6%,Medium,England,THE LEICESTER 40K SUPER MAJOR,Death Korps of Queens Road,2,"Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it. Guest - club is listed as Death Korps of Queens Road, not this team."
141,James Wilson,Adeptus Mancunian 1,Space Marines (Astartes),Purge the Foe,1546,4264,42,34,1,77,55.2%,High,England,The 36 Chambers #4,Adeptus Mancunian,4,WARNING: there are TWO players named James Wilson in this event (Adeptus Mancunian 1 and Polaris killer Bs) and four in the Elo database. Both roster entries have been assigned the SAME Elo record. At least one of these rows is wrong - verify before relying on it.
142,James Wilson,Polaris killer Bs,Tyranids,Disruption,1546,4264,42,34,1,77,55.2%,High,England,The 36 Chambers #4,Polaris,4,WARNING: there are TWO players named James Wilson in this event (Adeptus Mancunian 1 and Polaris killer Bs) and four in the Elo database. Both roster entries have been assigned the SAME Elo record. At least one of these rows is wrong - verify before relying on it.
143,Oscar Luckin,PSSN: Pile of Shame x LWG,Tyranids,Priority Assets,1544,4446,27,22,2,51,54.9%,Medium,England,PSSN Presents: Dark Sphere May GT,Pile of Shame Support Network,1,
144,Henry Taylor,Forged In The Armoury,Death Guard,Take and Hold,1543,4515,12,11,2,25,52.0%,Medium,England,THE SHEFFIELD 40K GT,Forged in the Armoury,1,
145,DJ Inglis,Phoenix40k - Heinous Creatures,Emperor's Children,Priority Assets,1542,4558,6,4,0,10,60.0%,Low,England,South Yorkshire GT 1 2026,,1,"Elo rests on only 10 games, so lightly evidenced."
146,Ross Hilliard,Mind Gobliins,Chaos Space Marines,Purge the Foe,1539,4893,51,52,0,103,49.5%,High,England,THE COVENTRY 40K : 3-Day,Mind Goblins,1,
147,Sean O'Connor,Blackwater Vikings Team Pink,Tyranids,Reconnaissance,1539,4920,10,9,1,20,52.5%,Medium,England,VT 40K GT JAN 2026,Blackwater Vikings,1,
148,Chippy Wesemael,Mind Gobliins,Leagues of Votann,Reconnaissance,1538,5038,24,18,0,42,57.1%,Medium,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Mind Goblins,1,
149,Andy Plummer,Carnage Chaos,Space Marines (Astartes),Priority Assets,1537,5073,21,28,0,49,42.9%,Medium,England,THE LEEDS 40K SUPER MAJOR,Carnage,1,
150,Christian Etheridge,Shadowkeepers :: The Chill,T'au Empire,Purge the Foe,1537,5065,11,14,0,25,44.0%,Medium,England,THE BRISTOL 40K SUPER MAJOR,Shadowkeepers,1,
151,Matthew Norris,Carnage Chaos,Aeldari,Reconnaissance,1537,5084,24,33,0,57,42.1%,Medium,England,THE BRISTOL 40K SUPER MAJOR,Carnage,2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
152,Jamie Payton,PSSN: Pile of Shame x LWG,Blood Angels,Reconnaissance,1536,5212,31,33,2,66,48.5%,High,England,PSSN Presents: Dark Sphere March GT,Pile of Shame Support Network,1,
153,Martin Freeman,Death Korps of Queens Road - Orca Squadron,Tyranids,Take and Hold,1535,5307,28,29,2,59,49.2%,Medium,England,THE LEICESTER 40K SUPER MAJOR,Death Korps of Queens Road,1,
154,Noah Russell,Shadowkeepers :: The Chill,Space Marines (Astartes),Take and Hold,1534,5369,3,2,0,5,60.0%,Low,England,THE BIRMINGHAM 40K SUPER MAJOR,Shadowkeepers,1,"Elo rests on only 5 games, so lightly evidenced."
155,Lewis Ferrari,Krump or Dice Tryin',Orks,Take and Hold,1534,5379,17,14,0,31,54.8%,Medium,England,THE BIRMINGHAM 40K SUPER MAJOR,Krump or Dice Tryin',1,
156,Jugrajveer Kundola,Flatcaps and flakcannons,Dark Angels,Take and Hold,1534,5406,18,20,0,38,47.4%,Medium,England,THE LEEDS 40K SUPER MAJOR,Flatcaps and Flakcannons,1,
157,Tim Russell,Shadowkeepers :: The Chill,Imperial Knights,Priority Assets,1533,5522,3,2,0,5,60.0%,Low,England,THE BIRMINGHAM 40K SUPER MAJOR,,1,"Elo rests on only 5 games, so lightly evidenced."
158,Nicolas Ballesteros,Fire and Dice - Targaryen,Blood Angels,Take and Hold,1533,5556,29,26,0,55,52.7%,Medium,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Fire and Dice,1,
159,Jack Jackson-Savill,Forged In The Armoury,World Eaters,Reconnaissance,1533,5594,13,12,0,25,52.0%,Medium,England,THE SHEFFIELD 40K GT,Forged in the Armoury,1,
160,Oliver Wheeler,Waaagh Boys,Emperor's Children,Purge the Foe,1532,5600,57,53,3,113,51.8%,High,England,Dark Sphere November Major,Waaagh Boys,1,
161,Damian Corbett,40Kasuals,Necrons,Priority Assets,1532,5596,8,7,0,15,53.3%,Low,England,Beachhead Brawl 2026,,1,"Elo rests on only 15 games, so lightly evidenced."
162,Adam Stallwood,Fire and Dice - Tiger's eye,Genestealer Cult,Disruption,1531,5711,25,10,2,37,70.3%,Medium,England,The GR: Meme Team - 2025 GT,Fire and Dice,1,
163,Chris Lambert,Hobby Henchmen I,Necrons,Take and Hold,1529,5985,8,7,0,15,53.3%,Low,England,THE SOUTH-COAST 40k SUPER-MAJOR,Hobby Henchmen,1,"Elo rests on only 15 games, so lightly evidenced."
164,Daniel Berris,Blackwater Vikings Black,World Eaters,Purge the Foe,1526,6368,26,17,3,46,59.8%,Medium,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Blackwater Vikings,1,
165,Gee Hunter,Flatcaps and flakcannons,T'au Empire,Purge the Foe,1526,6416,3,2,0,5,60.0%,Low,England,THE LEEDS 40K SUPER MAJOR,Flatcaps and Flakcannons,1,"Elo rests on only 5 games, so lightly evidenced."
166,Oliver Steer,Death Korps of Queens Road - Orca Squadron,Adeptus Custodes,Purge the Foe,1525,6530,20,25,0,45,44.4%,Medium,England,Warhammer 40000 GT: Warhammer Open UK Games Expo Birmingham,Death Korps of Queens Road,1,
167,Doug Tabor,Team Stonehammer,Adepta Sororitas,Take and Hold,1525,6541,25,11,0,36,69.4%,Medium,England,Protect Ya Neck,Team Stonehammer,1,
168,Freddie Robinson,Hobby Henchmen I,Chaos Knights,Priority Assets,1523,6915,47,59,1,107,44.4%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Hobby Henchmen,1,13th at the Vanguard Tactics GT in August 2025 with Grey Knights. He is on Chaos Knights here.
169,Michael Glassock,Blackwater Vikings Team Pink,Orks,Take and Hold,1521,7179,6,4,0,10,60.0%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Blackwater Vikings,1,"Elo rests on only 10 games, so lightly evidenced."
170,Edward Shilcof,Shut up Kyle,Orks,Disruption,1521,7190,4,1,0,5,80.0%,Low,England,THE BRISTOL 40K SUPER MAJOR,Sutton Immortals II,1,"Appears as team captain under the variant spelling 'Ed Shilcoff'. Elo rests on only 5 games, so lightly evidenced. Guest - club is listed as Sutton Immortals II, not this team."
171,Jonathan Clarke,TFG Gaming,Space Marines (Astartes),Reconnaissance,1520,7407,29,11,0,40,72.5%,Medium,England,North Staffs GT,TFG Gaming,1,
172,Nyran Grey,Krump or Dice Tryin' B Team,T'au Empire,Purge the Foe,1519,7566,3,2,0,5,60.0%,Low,England,THE BRISTOL 40K SUPER MAJOR,Krump or Dice Tryin',1,"Elo rests on only 5 games, so lightly evidenced."
173,Callum Watts,PSSN: The Wizards of Odds,Tyranids,Disruption,1518,7773,41,46,0,87,47.1%,High,England,PSSN Presents: Dark Sphere May GT,Pile of Shame Support Network,1,"Guest - club is listed as Pile of Shame Support Network, not this team."
174,Matt Whiteley,The Sh[a]meful Suspects - PSSN,Space Marines (Astartes),Disruption,1518,7827,12,13,0,25,48.0%,Medium,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Pile of Shame Support Network,1,"Guest - club is listed as Pile of Shame Support Network, not this team."
175,Joe Jackson,Forged In The Armoury,Leagues of Votann,Priority Assets,1518,7838,3,2,0,5,60.0%,Low,England,THE SHEFFIELD 40K GT,Forged in the Armoury,1,"Elo rests on only 5 games, so lightly evidenced."
176,Chris Redfearn,Snake Eyes,Astra Militarum,Priority Assets,1518,7930,3,2,0,5,60.0%,Low,England,The Battle for Toad Hall,,1,"Elo rests on only 5 games, so lightly evidenced."
177,Inder Bal,Fire and Dice - Tiger's eye,Chaos Daemons,Purge the Foe,1517,8142,11,12,2,25,48.0%,Medium,England,THE BIRMINGHAM 40K SUPER MAJOR,Fire and Dice,1,
178,Matthew Bunker,Tuesday Knights,Chaos Space Marines,Priority Assets,1516,8249,31,33,5,69,48.6%,High,England,Dark Sphere February GT,Tuesday Knights,1,
179,Alex Fleet,Blackwater Vikings Silver,Emperor's Children,Priority Assets,1516,8268,3,1,1,5,70.0%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Blackwater Vikings,1,"Elo rests on only 5 games, so lightly evidenced."
180,Sean Clancy,Codex Creeps,Necrons,Take and Hold,1516,8375,45,54,0,99,45.5%,High,Canada,Wheat City Open 2026: 40k,United Wargamers,1,"Based in Canada, so likely outside the UK team circuit. Guest - club is listed as United Wargamers, not this team."
181,Thomas Welsh,Sanguine Spanners,Tyranids,Disruption,1516,8386,17,9,0,26,65.4%,Medium,England,THE LEEDS 40K SUPER MAJOR,Sanguine Spanners,1,
182,Ollie Watts,PSSN: The Wizards of Odds,Leagues of Votann,Priority Assets,1514,8761,15,16,2,33,48.5%,Medium,England,Dark  Sphere April 40k GT,Pile of Shame Support Network,1,"Guest - club is listed as Pile of Shame Support Network, not this team."
183,charles shelley,Wet T-shirt saves,Dark Angels,Priority Assets,1514,8961,2,1,0,3,66.7%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Charlie's angels of death,1,"Elo rests on only 3 games, so lightly evidenced. Guest - club is listed as Charlie's angels of death, not this team."
184,Alexandre Harnisch,Waaagh Boys,Necrons,Take and Hold,1513,8997,14,8,0,22,63.6%,Medium,England,Goonhammer Open UK September 2024,Waaagh Boys,1,
185,Samuel Godding,Hobby Henchmen I,Space Marines (Astartes),Reconnaissance,1512,9437,23,25,1,49,48.0%,Medium,England,THE BRISTOL 40K SUPER MAJOR,,1,
186,Chris Arlow,Black Herts,Necrons,Take and Hold,1512,9450,18,21,2,41,46.3%,Medium,England,THE BRISTOL 40K SUPER MAJOR,Black Herts,1,
187,Matt Smith,Webway Wanderers,Chaos Daemons,Disruption,1512,9527,18,17,1,36,51.4%,Medium,England,SUPER All Stars 2 - Hellstorm's MAJOR Warhammer 40K Tournament,Webway Wanderers,3,Name matches 3 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
188,Tom Briggs,Krump or Dice Tryin',Chaos Space Marines,Disruption,1512,9539,7,8,0,15,46.7%,Low,England,THE BRISTOL 40K SUPER MAJOR,Krump or Dice Tryin',1,"Elo rests on only 15 games, so lightly evidenced."
189,Alex Walker,Sanguine Spanners,Chaos Daemons,Purge the Foe,1511,9696,38,37,2,77,50.6%,High,England,That 6++ Grand Tournament: North 2026,Sanguine Spanners,1,
190,Matt Lamacraft,Phoenix40k - Drooling Creatures,Black Templars,Purge the Foe,1511,9687,10,10,0,20,50.0%,Medium,England,THE LEEDS 40K SUPER MAJOR,,1,
191,Peter Bunce,Mind Gobliins,Orks,Take and Hold,1511,9745,8,2,0,10,80.0%,Low,England,Battlefield Birmingham 22,Mind Goblins,1,"Elo rests on only 10 games, so lightly evidenced."
192,Perry Bates-Powell,Shut up Kyle,Adeptus Mechanicus,Priority Assets,1511,9747,3,2,0,5,60.0%,Low,England,THE COVENTRY 40K : 2-Day,Sutton Immortals II,1,"Elo rests on only 5 games, so lightly evidenced. Guest - club is listed as Sutton Immortals II, not this team."
193,Kieran Taylor,Carnage Destruction,Grey Knights,Purge the Foe,1511,9827,7,7,0,14,50.0%,Low,England,THE SHEFFIELD 40K GT,Carnage,1,"Elo rests on only 14 games, so lightly evidenced."
194,Dan Zas,Polaris,Aeldari,Priority Assets,1510,10099,20,22,1,43,47.7%,Medium,England,The NOTTINGHAM 40K SUPER-MAJOR,Polaris,1,
195,Rob Edwards,Forged In The Armoury,Chaos Knights,Disruption,1510,10167,14,6,0,20,70.0%,Medium,England,South Yorkshire GT 24,,1,
196,Phil Gill,Black Herts,Leagues of Votann,Priority Assets,1509,10308,12,15,1,28,44.6%,Medium,England,The UKTC Windsor Super-Major,Black Herts,1,
197,Matthew Jemmerson,The Holy Hand Grenades,Space Marines (Astartes),Disruption,1509,10335,7,8,0,15,46.7%,Low,England,The NOTTINGHAM 40K SUPER-MAJOR,The Holy Hand Grenades,1,"Elo rests on only 15 games, so lightly evidenced."
198,Josh Murphy,Blackscar Gaming,Orks,Priority Assets,1509,10316,3,2,0,5,60.0%,Low,England,THE SOUTH-COAST 40k SUPER-MAJOR,Blackscar Gaming,1,"Elo rests on only 5 games, so lightly evidenced."
199,Patrick Easingwood,Carnage Destruction,Space Marines (Astartes),Reconnaissance,1509,10510,17,17,1,35,50.0%,Medium,England,South Yorkshire GT 2,Carnage,1,
200,Nathan Osborne,Blackwater Vikings Silver,Tyranids,Take and Hold,1509,10525,3,2,0,5,60.0%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Blackwater Vikings,1,"Elo rests on only 5 games, so lightly evidenced."
201,Jamie Fowler,Krump or Dice Tryin' B Team,Leagues of Votann,Priority Assets,1509,10562,8,7,0,15,53.3%,Low,England,The Autumn Swordwind GT - 2000 Points 40k tournament 5 rounds,Krump or Dice Tryin',2,"Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it. Elo rests on only 15 games, so lightly evidenced."
202,Jamie Paris,Shadowkeepers :: The Clueless,Tyranids,Take and Hold,1508,10661,3,2,0,5,60.0%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Team Sigil,1,"GUEST - club is Team Sigil, the national #1 squad, playing for Shadowkeepers :: The Clueless. Elo rests on only 5 games, so lightly evidenced."
203,Alastair Marjoram,Polaris killer Bs,Space Marines (Astartes),Priority Assets,1508,10730,11,4,0,15,73.3%,Low,England,Ammonite Gaming Turbulent Tides - The Whitby GT,Polaris,1,"Elo rests on only 15 games, so lightly evidenced."
204,Ben Clark,Blackwater Vikings Team Pink,Thousand Sons,Priority Assets,1508,10929,5,5,0,10,50.0%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Blackwater Vikings,2,"Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it. Elo rests on only 10 games, so lightly evidenced."
205,Kyle Brady,Shut up Kyle,Emperor's Children,Purge the Foe,1507,11248,3,2,0,5,60.0%,Low,England,THE BRISTOL 40K SUPER MAJOR,Sutton Immortals II,1,"Elo rests on only 5 games, so lightly evidenced. Guest - club is listed as Sutton Immortals II, not this team."
206,Warwick Smith,"Live, Laugh, Lascannons",Astra Militarum,Purge the Foe,1506,11425,23,30,2,55,43.6%,Medium,England,Black Crow Gaming's Battle of the RAGNAR GT! March,Touch My Mortal Wound,1,"Guest - club is listed as Touch My Mortal Wound, not this team."
207,Ed Benson,Team YEET,Thousand Sons,Take and Hold,1506,11495,6,6,0,12,50.0%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),South London Legion,1,"Elo rests on only 12 games, so lightly evidenced. Guest - club is listed as South London Legion, not this team."
208,Aaron Day,Polaris killer Bs,Astra Militarum,Purge the Foe,1506,11638,32,24,0,56,57.1%,Medium,England,The Coventry Super-Major,Polaris,1,
209,Brett Armitage,TFG Gaming,Necrons,Take and Hold,1506,11760,9,10,1,20,47.5%,Medium,England,Glasshammer Major - Nottingham,TFG Gaming,1,
210,Ben McCarthy,PSSN: [L]ooming Table Flip,World Eaters,Purge the Foe,1506,11794,22,24,1,47,47.9%,Medium,England,PSSN Presents: Dark Sphere May GT,Pile of Shame Support Network,2,"Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it. Guest - club is listed as Pile of Shame Support Network, not this team."
211,Alexei de Berner,Hobby Henchmen II,T'au Empire,Reconnaissance,1505,12155,2,2,1,5,50.0%,Low,England,THE SOUTH-COAST 40k SUPER-MAJOR,Hobby Henchmen,1,"Elo rests on only 5 games, so lightly evidenced."
212,Dave Skinner,Polaris killer Bs,Adepta Sororitas,Reconnaissance,1504,12557,17,24,1,42,41.7%,Medium,England,40K Iron Man 2025,Polaris,1,
213,Daniel Marshall,Phoenix40k - Heinous Creatures,Leagues of Votann,Purge the Foe,1504,12633,4,4,0,8,50.0%,Low,England,Phoenix 40K Spring GT 2026,Deepstrike Diaries,2,"Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it. Elo rests on only 8 games, so lightly evidenced. Guest - club is listed as Deepstrike Diaries, not this team."
214,Luke Alderson-Fletcher,Shadowkeepers :: The Clueless,Adepta Sororitas,Priority Assets,1503,13071,29,28,2,59,50.8%,Medium,England,Warhammer 40000 GT: Warhammer Open UK Games Expo Birmingham,Shadowkeepers,1,
215,Jack Sharratt,Manaforge Games Derby,Space Marines (Astartes),Priority Assets,1503,13311,15,16,2,33,48.5%,Medium,England,The NOTTINGHAM 40K SUPER-MAJOR,Manaforge Games,1,
216,Jacob Kriegbaum,The Minutemen 1,Death Guard,Take and Hold,1503,13335,7,4,0,11,63.6%,Low,0,Frontline Gaming LVO 2023 Warhammer 40K Champs,Air Force Gaming,1,"Elo rests on only 11 games, so lightly evidenced. Country field is blank in the source data. Guest - club is listed as Air Force Gaming, not this team."
217,Edward Muir,Waaagh Boys,Adeptus Custodes,Disruption,1502,13894,5,5,0,10,50.0%,Low,England,Gothic Games Canterbury: August 40k GT,Waaagh Boys,1,"Elo rests on only 10 games, so lightly evidenced."
218,Dan Jones,Adeptus Mancunian 1,Tyranids,Reconnaissance,1502,14084,13,16,0,29,44.8%,Medium,England,The MANCHESTER 40k SUPER-MAJOR,TheDoomMelon (Maidenhead Freeguild),1,"Guest - club is listed as TheDoomMelon (Maidenhead Freeguild), not this team."
219,Nathaniel Sibley,Flatcaps and flakcannons,World Eaters,Priority Assets,1502,14585,4,6,0,10,40.0%,Low,England,THE LEEDS 40K SUPER MAJOR,Flatcaps and Flakcannons,1,"Elo rests on only 10 games, so lightly evidenced."
220,Luke Watson,Webway Wanderers,T'au Empire,Purge the Foe,1501,15126,15,12,0,27,55.6%,Medium,0,Gibraltar Grand Tournament,Webway Wanderers,1,Country field is blank in the source data.
221,Alfie Cox,Phoenix40k - Drooling Creatures,Necrons,Priority Assets,1501,15677,12,18,0,30,40.0%,Medium,England,Phoenix 40K Spring GT 2026,ludens insipiens,1,"Guest - club is listed as ludens insipiens, not this team."
222,Sam Sanders,Live and let dice,Adeptus Custodes,Priority Assets,1501,15638,5,5,0,10,50.0%,Low,United States,Safety's Off's "The Pumpkin Spice Must Flow" GT,,1,"Elo rests on only 10 games, so lightly evidenced. Based in United States, so likely outside the UK team circuit."
223,Josh Hazelwood,Cooked Green Dice,Thousand Sons,Priority Assets,1499,18224,9,16,0,25,36.0%,Medium,England,Nailhammer 8 - 2k 2 Day Tournament,Cooked Green Dice,1,
224,Samir Sydykov,Fire and Dice - Tiger's eye,Adepta Sororitas,Priority Assets,1499,19423,13,17,0,30,43.3%,Medium,England,The NOTTINGHAM 40K SUPER-MAJOR,Fire and Dice,1,
225,Will Fowler,Phoenix40K - Outrageous Creatures,Emperor's Children,Purge the Foe,1499,19853,5,5,0,10,50.0%,Low,England,The NOTTINGHAM 40K SUPER-MAJOR,Phoenix40K,1,"Elo rests on only 10 games, so lightly evidenced."
226,Cameron Clack,Blackwater Vikings Black,Dark Angels,Priority Assets,1499,20000,2,2,0,4,50.0%,Low,England,VT 40K GT JAN 2026,Blackwater Vikings,1,"Elo rests on only 4 games, so lightly evidenced."
227,Tom Noble,Live and let dice,Space Marines (Astartes),Reconnaissance,1499,20285,2,3,0,5,40.0%,Low,England,The NOTTINGHAM 40K SUPER-MAJOR,,1,"Elo rests on only 5 games, so lightly evidenced."
228,Andrew Downes,Shut up Kyle,Space Marines (Astartes),Take and Hold,1497,22699,5,8,0,13,38.5%,Low,England,THE LEICESTER 40K SUPER MAJOR,Sutton Immortals II,1,"Elo rests on only 13 games, so lightly evidenced. Guest - club is listed as Sutton Immortals II, not this team."
229,Sam Baber,Waaagh Boys,T'au Empire,Priority Assets,1497,23037,6,9,0,15,40.0%,Low,England,Dark Sphere July 40k GT,Waaagh Boys,1,"Elo rests on only 15 games, so lightly evidenced."
230,Jordan Tilley,Phoenix40K - Outrageous Creatures,Blood Angels,Take and Hold,1496,24134,6,10,0,16,37.5%,Low,England,ALL STARS HEAT 4 - Hellstorm's 40K Tournament Series,Phoenix40K,1,"Elo rests on only 16 games, so lightly evidenced."
231,Dan Gilbert,Fire and Dice - Tiger's eye,Space Marines (Astartes),Reconnaissance,1495,24807,6,8,1,15,43.3%,Low,England,The GR: Meme Team GT - In co-operation with Cryptic Cabin,Fire and Dice,1,"Elo rests on only 15 games, so lightly evidenced."
232,Max Berry,Hobby Henchmen II,Adeptus Custodes,Purge the Foe,1495,24809,4,6,0,10,40.0%,Low,England,THE COVENTRY 40K : 2-Day,Hobby Henchmen,1,"Elo rests on only 10 games, so lightly evidenced."
233,Sam Whymark,40Kasuals,Orks,Reconnaissance,1495,25019,3,3,0,6,50.0%,Low,England,Beachhead Brawl 2026,Blackwater Vikings,1,"Elo rests on only 6 games, so lightly evidenced. Guest - club is listed as Blackwater Vikings, not this team."
234,Gavin Abbott,40Kasuals,Space Wolves,Disruption,1495,25371,5,6,0,11,45.5%,Low,England,Beachhead Brawl 2026,40Kasuals,1,"Elo rests on only 11 games, so lightly evidenced."
235,Daniel Woodhouse,Phoenix40K - Outrageous Creatures,T'au Empire,Priority Assets,1495,25362,4,6,0,10,40.0%,Low,England,Phoenix 40K Spring GT 2026,,1,"Elo rests on only 10 games, so lightly evidenced."
236,Jonathan Fequet,Codex Creeps,Chaos Space Marines,Disruption,1494,25763,6,12,0,18,33.3%,Low,United States,Frontline Gaming LVO 2024 Warhammer 40K Champs,United Wargamers,1,"Elo rests on only 18 games, so lightly evidenced. Based in United States, so likely outside the UK team circuit. Guest - club is listed as United Wargamers, not this team."
237,Andrew Thornton,Forged In The Armoury,Orks,Purge the Foe,1494,25936,12,17,0,29,41.4%,Medium,England,THE SHEFFIELD 40K GT,Forged in the Armoury,1,
238,Jo Cripps,40Kasuals,Leagues of Votann,Take and Hold,1494,25959,5,7,0,12,41.7%,Low,England,Beachhead Brawl 2026,,1,"Elo rests on only 12 games, so lightly evidenced."
239,Luke Armstrong,Globo Gym,Necrons,Reconnaissance,1494,26377,8,10,2,20,45.0%,Medium,Scotland,Doonhamer Open - 40K Super Major,Globo Gym Purple Cobras,1,
240,Charlotte Kong,"Death Korps of Queens Road, Honey Badgers",Chaos Daemons,Disruption,1493,26764,2,3,0,5,40.0%,Low,England,THE BIRMINGHAM 40K SUPER MAJOR,Death Korps of Queens Road,1,"Elo rests on only 5 games, so lightly evidenced."
241,Rob Hassall,"Death Korps of Queens Road, Honey Badgers",Grey Knights,Priority Assets,1493,26876,5,9,1,15,36.7%,Low,England,The NOTTINGHAM 40K SUPER-MAJOR,DeadRedGaming,1,"Elo rests on only 15 games, so lightly evidenced. Guest - club is listed as DeadRedGaming, not this team."
242,Steve Hart,Black Herts,Space Marines (Astartes),Disruption,1493,26889,12,18,0,30,40.0%,Medium,England,The UKTC Windsor Super-Major,Black Herts,1,
243,Dale Ahmed,Webway Wanderers,Necrons,Reconnaissance,1493,27180,2,3,0,5,40.0%,Low,England,THE COVENTRY 40K : 2-Day,Webway Wanderers,1,"Elo rests on only 5 games, so lightly evidenced."
244,Tim James,40Kasuals,Imperial Knights,Purge the Foe,1493,27247,2,3,0,5,40.0%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),40Kasuals,1,"Elo rests on only 5 games, so lightly evidenced."
245,Lewis Etchells,BDK Gaming,Death Guard,Disruption,1492,27453,2,3,0,5,40.0%,Low,England,The MANCHESTER 40k SUPER-MAJOR,BDK Gaming,1,"Elo rests on only 5 games, so lightly evidenced."
